Bus,Name
1,Auxes
2,Matrix
3,Matrix Outputs
4,Matrix 1
5,Matrix 2
6,Matrix 3
7,Matrix 4
8,Matrix 5
9,Matrix 6
10,Matrix 7
11,Matrix 8
12,Matrix Inputs
13,Aux 4 R
14,Aux 5 R
15,Aux 6 R
16,Grp 5 R
17,Grp 6 R
18,Aux Outputs
19,Aux 1
20,Aux 2
21,Aux 3
22,Aux 4
23,Aux 5
24,Aux 6
25,Grp 1
26,Grp 2
27,Grp 3
28,Master
29,Grp 5
30,Grp 6
31,Aux 1-6
32,Grp 1-6
33,Matrix /TB
