FX,Name
1,Delays
2,Hall Reverbs
3,Wood room
4,Room Reverbs
5,Clear room
6,Percussion room
7,Practice room
8,Live room
9,Short Plate
10,Plate Reverbs
11,Medium Plate
12,Drum Plate
13,Percussion Plate
14,Vocal Plate
15,Non-Lin Reverbs
